gameId,gameDate,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameId,gameType,gameLabel,gameSubLabel,seriesGameNumber
42400222,2025-05-07 21:30:00,Oklahoma City,Thunder,1610612760,Denver,Nuggets,1610612743,1,1,149,106,31.0,8.0,12.0,89.0,50.0,0.562,36.0,16.0,0.444,36.0,33.0,0.917,36.0,8.0,44.0,24.0,9.0,43.0,240.0,45.0,42.0,37.0,25.0,57.0,49.0,10.0,1.0,26.0,34.0,52.0,20.0,0.0,1.0,1.0,1.0,,42400222,Playoffs,West Conf. Semifinals,Game 2,2.0
42400201,2025-05-04 18:00:00,Indiana,Pacers,1610612754,Cleveland,Cavaliers,1610612739,0,1,121,112,30.0,9.0,6.0,83.0,44.0,0.53,36.0,19.0,0.528,15.0,14.0,0.933,36.0,7.0,43.0,20.0,16.0,9.0,240.0,36.0,28.0,28.0,29.0,29.0,12.0,10.0,13.0,15.0,9.0,38.0,4.0,4.0,0.0,1.0,0.0,,42400201,Playoffs,East Conf. Semifinals,Game 1,1.0
22401200,2025-04-13 15:30:00,Sacramento,Kings,1610612758,Phoenix,Suns,1610612756,1,1,109,98,31.0,4.0,6.0,88.0,46.0,0.523,34.0,14.0,0.412,3.0,3.0,1.0,33.0,10.0,43.0,7.0,11.0,11.0,240.0,33.0,24.0,29.0,23.0,50.0,17.0,8.0,1.0,11.0,20.0,44.0,14.0,1.0,1.0,40.0,42.0,,22401200,Regular Season,,,0.0
22401166,2025-04-09 22:30:00,Los Angeles,Clippers,1610612746,Houston,Rockets,1610612745,1,1,134,117,33.0,3.0,10.0,90.0,48.0,0.533,37.0,19.0,0.514,19.0,19.0,1.0,32.0,11.0,43.0,11.0,11.0,17.0,240.0,36.0,35.0,34.0,29.0,40.0,19.0,12.0,3.0,14.0,15.0,54.0,10.0,1.0,0.0,48.0,32.0,,22401166,Regular Season,,,0.0
22401101,2025-04-01 19:30:00,Milwaukee,Bucks,1610612749,Phoenix,Suns,1610612756,1,1,133,123,32.0,5.0,6.0,74.0,51.0,0.689,29.0,17.0,0.586,15.0,14.0,0.933,26.0,3.0,29.0,22.0,18.0,10.0,240.0,31.0,29.0,35.0,38.0,23.0,22.0,11.0,4.0,12.0,22.0,58.0,3.0,1.0,0.0,41.0,34.0,,22401101,Regular Season,,,0.0
22401078,2025-03-29 20:00:00,Los Angeles,Lakers,1610612747,Memphis,Grizzlies,1610612763,0,1,134,127,30.0,3.0,7.0,89.0,45.0,0.506,43.0,19.0,0.442,27.0,25.0,0.926,34.0,8.0,42.0,21.0,13.0,7.0,240.0,39.0,33.0,30.0,32.0,34.0,20.0,11.0,8.0,13.0,15.0,38.0,17.0,6.0,0.0,45.0,29.0,,22401078,Regular Season,,,0.0
22401058,2025-03-26 22:00:00,Boston,Celtics,1610612738,Phoenix,Suns,1610612756,0,1,132,102,33.0,7.0,8.0,89.0,45.0,0.506,52.0,22.0,0.423,22.0,20.0,0.909,37.0,11.0,48.0,18.0,10.0,30.0,240.0,42.0,31.0,35.0,24.0,30.0,34.0,15.0,0.0,9.0,16.0,44.0,17.0,0.0,1.0,54.0,19.0,,22401058,Regular Season,,,0.0
22401021,2025-03-21 22:00:00,Phoenix,Suns,1610612756,Cleveland,Cavaliers,1610612739,1,1,123,112,33.0,3.0,6.0,92.0,48.0,0.522,42.0,19.0,0.452,8.0,8.0,1.0,34.0,12.0,46.0,16.0,13.0,11.0,240.0,35.0,27.0,36.0,25.0,35.0,21.0,8.0,5.0,11.0,20.0,46.0,18.0,1.0,1.0,34.0,37.0,,22401021,Regular Season,,,0.0
22401016,2025-03-21 20:00:00,Minnesota,Timberwolves,1610612750,New Orleans,Pelicans,1610612740,1,1,134,93,40.0,1.0,14.0,89.0,48.0,0.539,44.0,19.0,0.432,20.0,19.0,0.95,26.0,10.0,36.0,17.0,13.0,41.0,240.0,28.0,34.0,35.0,37.0,65.0,43.0,12.0,13.0,15.0,37.0,54.0,20.0,5.0,1.0,41.0,31.0,,22401016,Regular Season,,,0.0
22401009,2025-03-19 22:00:00,Sacramento,Kings,1610612758,Cleveland,Cavaliers,1610612739,1,1,123,119,28.0,1.0,9.0,91.0,46.0,0.505,35.0,16.0,0.457,16.0,15.0,0.938,27.0,14.0,41.0,20.0,11.0,4.0,240.0,15.0,32.0,43.0,33.0,36.0,11.0,14.0,7.0,16.0,23.0,48.0,10.0,5.0,1.0,35.0,33.0,,22401009,Regular Season,,,0.0
