gameId,gameDate,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameId,gameType,gameLabel,gameSubLabel,seriesGameNumber
22400991,2025-03-17 22:00:00,Phoenix,Suns,1610612756,Toronto,Raptors,1610612761,1,1,129,89,34.0,4.0,7.0,92.0,47.0,0.511,39.0,20.0,0.513,15.0,15.0,1.0,42.0,12.0,54.0,21.0,10.0,40.0,240.0,24.0,39.0,30.0,36.0,58.0,40.0,10.0,6.0,22.0,20.0,46.0,10.0,2.0,1.0,32.0,37.0,,22400991,Regular Season,,,0.0
22400972,2025-03-15 20:00:00,Milwaukee,Bucks,1610612749,Indiana,Pacers,1610612754,1,1,126,119,28.0,4.0,9.0,79.0,43.0,0.544,37.0,15.0,0.405,26.0,25.0,0.962,38.0,7.0,45.0,16.0,15.0,7.0,240.0,38.0,27.0,35.0,26.0,35.0,21.0,14.0,2.0,8.0,7.0,40.0,7.0,3.0,0.0,38.0,28.0,,22400972,Regular Season,,,0.0
22400938,2025-03-10 22:00:00,Golden State,Warriors,1610612744,Portland,Trail Blazers,1610612757,1,1,130,120,35.0,5.0,16.0,85.0,45.0,0.529,41.0,21.0,0.512,21.0,19.0,0.905,28.0,12.0,40.0,16.0,17.0,10.0,240.0,35.0,33.0,34.0,28.0,56.0,19.0,9.0,3.0,20.0,25.0,46.0,17.0,1.0,1.0,37.0,28.0,,22400938,Regular Season,,,0.0
22400936,2025-03-10 20:00:00,Denver,Nuggets,1610612743,Oklahoma City,Thunder,1610612760,0,1,140,127,32.0,5.0,6.0,86.0,52.0,0.605,32.0,18.0,0.563,20.0,18.0,0.9,34.0,9.0,43.0,18.0,12.0,13.0,240.0,34.0,33.0,34.0,39.0,24.0,16.0,13.0,10.0,18.0,16.0,48.0,8.0,5.0,1.0,42.0,23.0,,22400936,Regular Season,,,0.0
22400925,2025-03-09 20:00:00,Minnesota,Timberwolves,1610612750,San Antonio,Spurs,1610612759,1,1,141,124,38.0,4.0,7.0,95.0,53.0,0.558,42.0,21.0,0.5,15.0,14.0,0.933,28.0,14.0,42.0,17.0,12.0,17.0,240.0,37.0,31.0,41.0,32.0,57.0,24.0,7.0,0.0,9.0,17.0,62.0,30.0,0.0,0.0,37.0,29.0,,22400925,Regular Season,,,0.0
22400913,2025-03-08 19:00:00,Houston,Rockets,1610612745,New Orleans,Pelicans,1610612740,1,1,146,117,32.0,7.0,9.0,99.0,55.0,0.556,40.0,17.0,0.425,21.0,19.0,0.905,33.0,15.0,48.0,13.0,10.0,29.0,240.0,39.0,35.0,35.0,37.0,58.0,37.0,9.0,0.0,24.0,14.0,70.0,25.0,0.0,0.0,39.0,25.0,,22400913,Regular Season,,,0.0
22400887,2025-03-04 20:00:00,Minnesota,Timberwolves,1610612750,Philadelphia,76ers,1610612755,1,1,126,112,29.0,5.0,7.0,81.0,46.0,0.568,40.0,18.0,0.45,17.0,16.0,0.941,30.0,7.0,37.0,21.0,17.0,14.0,240.0,24.0,33.0,26.0,43.0,40.0,23.0,8.0,9.0,22.0,17.0,50.0,8.0,14.0,1.0,34.0,29.0,,22400887,Regular Season,,,0.0
22400882,2025-03-04 19:00:00,Indiana,Pacers,1610612754,Houston,Rockets,1610612745,1,1,115,102,34.0,6.0,9.0,86.0,44.0,0.512,42.0,17.0,0.405,10.0,10.0,1.0,30.0,5.0,35.0,19.0,11.0,13.0,240.0,30.0,37.0,23.0,25.0,32.0,17.0,13.0,7.0,23.0,14.0,44.0,7.0,5.0,1.0,35.0,25.0,,22400882,Regular Season,,,0.0
22400880,2025-03-03 20:30:00,Sacramento,Kings,1610612758,Dallas,Mavericks,1610612742,0,1,122,98,34.0,4.0,4.0,90.0,47.0,0.522,34.0,16.0,0.471,12.0,12.0,1.0,28.0,9.0,37.0,16.0,7.0,24.0,240.0,27.0,33.0,34.0,28.0,35.0,32.0,16.0,0.0,9.0,13.0,42.0,11.0,0.0,1.0,32.0,28.0,,22400880,Regular Season,,,0.0
22400854,2025-02-28 20:00:00,Miami,Heat,1610612748,Indiana,Pacers,1610612754,1,1,125,120,34.0,4.0,7.0,84.0,48.0,0.571,32.0,17.0,0.531,13.0,12.0,0.923,27.0,12.0,39.0,11.0,14.0,5.0,240.0,29.0,39.0,29.0,28.0,49.0,12.0,13.0,14.0,10.0,19.0,54.0,18.0,10.0,1.0,28.0,30.0,,22400854,Regular Season,,,0.0
22400843,2025-02-26 21:00:00,Sacramento,Kings,1610612758,Utah,Jazz,1610612762,0,1,118,101,28.0,7.0,6.0,87.0,46.0,0.529,36.0,15.0,0.417,12.0,11.0,0.917,40.0,7.0,47.0,13.0,12.0,17.0,240.0,22.0,33.0,28.0,35.0,26.0,22.0,8.0,10.0,15.0,14.0,50.0,19.0,4.0,0.0,30.0,28.0,,22400843,Regular Season,,,0.0
22400832,2025-02-25 20:00:00,Memphis,Grizzlies,1610612763,Phoenix,Suns,1610612756,1,1,151,148,36.0,4.0,10.0,99.0,52.0,0.525,48.0,20.0,0.417,30.0,27.0,0.9,31.0,7.0,38.0,22.0,12.0,3.0,265.0,31.0,27.0,43.0,36.0,42.0,4.0,8.0,23.0,28.0,23.0,52.0,10.0,22.0,0.0,38.0,20.0,,22400832,Regular Season,,,0.0
22400823,2025-02-24 19:00:00,Chicago,Bulls,1610612741,Philadelphia,76ers,1610612755,0,1,142,110,32.0,6.0,11.0,89.0,45.0,0.506,40.0,18.0,0.45,36.0,34.0,0.944,34.0,10.0,44.0,19.0,13.0,32.0,240.0,39.0,36.0,40.0,27.0,52.0,50.0,10.0,1.0,23.0,26.0,50.0,11.0,2.0,1.0,23.0,35.0,,22400823,Regular Season,,,0.0
22400824,2025-02-24 19:00:00,Washington,Wizards,1610612764,Brooklyn,Nets,1610612751,1,1,107,99,26.0,8.0,7.0,70.0,35.0,0.5,31.0,13.0,0.419,25.0,24.0,0.96,30.0,7.0,37.0,26.0,24.0,8.0,240.0,30.0,37.0,18.0,22.0,31.0,14.0,8.0,6.0,17.0,22.0,38.0,11.0,4.0,0.0,10.0,47.0,,22400824,Regular Season,,,0.0
22400805,2025-02-21 22:00:00,Golden State,Warriors,1610612744,Sacramento,Kings,1610612758,0,1,132,108,40.0,3.0,13.0,93.0,50.0,0.538,43.0,20.0,0.465,12.0,12.0,1.0,24.0,11.0,35.0,19.0,12.0,24.0,240.0,31.0,37.0,32.0,32.0,46.0,29.0,11.0,4.0,17.0,38.0,50.0,13.0,6.0,1.0,29.0,27.0,,22400805,Regular Season,,,0.0
22400766,2025-02-11 20:00:00,Detroit,Pistons,1610612765,Chicago,Bulls,1610612741,0,1,132,92,30.0,8.0,10.0,96.0,51.0,0.531,41.0,18.0,0.439,13.0,12.0,0.923,47.0,8.0,55.0,19.0,14.0,40.0,240.0,34.0,37.0,34.0,27.0,71.0,49.0,23.0,0.0,26.0,20.0,60.0,21.0,0.0,1.0,28.0,26.0,,22400766,Regular Season,,,0.0
22400735,2025-02-07 19:00:00,Cleveland,Cavaliers,1610612739,Washington,Wizards,1610612764,0,1,134,124,32.0,3.0,9.0,94.0,48.0,0.511,38.0,16.0,0.421,24.0,22.0,0.917,31.0,15.0,46.0,20.0,14.0,10.0,240.0,35.0,29.0,30.0,40.0,22.0,16.0,9.0,19.0,13.0,22.0,58.0,19.0,17.0,1.0,42.0,10.0,,22400735,Regular Season,,,0.0
22400727,2025-02-05 22:00:00,Orlando,Magic,1610612753,Sacramento,Kings,1610612758,0,1,130,111,30.0,3.0,8.0,88.0,50.0,0.568,31.0,16.0,0.516,15.0,14.0,0.933,26.0,9.0,35.0,24.0,8.0,19.0,240.0,37.0,25.0,42.0,26.0,40.0,30.0,10.0,4.0,10.0,28.0,58.0,13.0,3.0,1.0,25.0,27.0,,22400727,Regular Season,,,0.0
22400717,2025-02-05 19:00:00,Milwaukee,Bucks,1610612749,Charlotte,Hornets,1610612766,0,1,112,102,26.0,4.0,6.0,81.0,41.0,0.506,42.0,18.0,0.429,13.0,12.0,0.923,38.0,6.0,44.0,16.0,9.0,10.0,240.0,38.0,28.0,20.0,26.0,33.0,21.0,10.0,3.0,9.0,11.0,30.0,2.0,3.0,1.0,27.0,22.0,,22400717,Regular Season,,,0.0
22400681,2025-01-31 19:30:00,Denver,Nuggets,1610612743,Philadelphia,76ers,1610612755,0,1,137,134,39.0,2.0,7.0,82.0,54.0,0.659,23.0,12.0,0.522,18.0,17.0,0.944,26.0,9.0,35.0,17.0,19.0,3.0,240.0,38.0,35.0,30.0,34.0,39.0,9.0,6.0,16.0,8.0,18.0,72.0,19.0,6.0,0.0,29.0,19.0,,22400681,Regular Season,,,0.0
22400674,2025-01-30 19:00:00,Los Angeles,Lakers,1610612747,Washington,Wizards,1610612764,0,1,134,96,31.0,6.0,9.0,90.0,49.0,0.544,32.0,15.0,0.469,22.0,21.0,0.955,39.0,9.0,48.0,24.0,11.0,38.0,240.0,42.0,36.0,27.0,29.0,48.0,42.0,10.0,2.0,37.0,22.0,58.0,15.0,2.0,1.0,27.0,19.0,,22400674,Regular Season,,,0.0
22400633,2025-01-25 12:00:00,Indiana,Pacers,1610612754,San Antonio,Spurs,1610612759,0,1,136,98,32.0,9.0,14.0,102.0,53.0,0.52,39.0,17.0,0.436,14.0,13.0,0.929,34.0,16.0,50.0,20.0,10.0,38.0,240.0,33.0,32.0,33.0,38.0,43.0,38.0,17.0,4.0,26.0,36.0,62.0,20.0,5.0,1.0,25.0,20.0,,22400633,Regular Season,NBA Paris Games,,0.0
22400632,2025-01-24 20:00:00,Memphis,Grizzlies,1610612763,New Orleans,Pelicans,1610612740,1,1,139,126,38.0,4.0,8.0,101.0,56.0,0.554,42.0,19.0,0.452,8.0,8.0,1.0,27.0,16.0,43.0,19.0,12.0,13.0,240.0,33.0,29.0,43.0,34.0,42.0,18.0,11.0,12.0,21.0,20.0,66.0,15.0,7.0,1.0,30.0,15.0,,22400632,Regular Season,,,0.0
22400621,2025-01-23 14:00:00,San Antonio,Spurs,1610612759,Indiana,Pacers,1610612754,0,1,140,110,43.0,10.0,10.0,96.0,58.0,0.604,36.0,18.0,0.5,6.0,6.0,1.0,42.0,15.0,57.0,13.0,19.0,30.0,240.0,30.0,30.0,45.0,35.0,53.0,30.0,10.0,11.0,34.0,21.0,66.0,18.0,4.0,1.0,20.0,22.0,,22400621,Regular Season,NBA Paris Games,,0.0
22400616,2025-01-22 20:00:00,Memphis,Grizzlies,1610612763,Charlotte,Hornets,1610612766,1,1,132,120,36.0,6.0,9.0,98.0,49.0,0.5,47.0,21.0,0.447,14.0,13.0,0.929,27.0,13.0,40.0,30.0,16.0,12.0,240.0,38.0,40.0,28.0,26.0,50.0,35.0,12.0,0.0,16.0,25.0,50.0,17.0,0.0,1.0,29.0,15.0,,22400616,Regular Season,,,0.0
22400609,2025-01-21 22:00:00,Denver,Nuggets,1610612743,Philadelphia,76ers,1610612755,1,1,144,109,39.0,4.0,7.0,85.0,52.0,0.612,31.0,16.0,0.516,25.0,24.0,0.96,37.0,14.0,51.0,10.0,13.0,35.0,240.0,35.0,42.0,40.0,27.0,58.0,35.0,12.0,1.0,37.0,18.0,68.0,23.0,1.0,1.0,27.0,16.0,,22400609,Regular Season,,,0.0
22400595,2025-01-19 19:00:00,Oklahoma City,Thunder,1610612760,Brooklyn,Nets,1610612751,1,1,127,101,37.0,5.0,8.0,87.0,48.0,0.552,43.0,19.0,0.442,13.0,12.0,0.923,35.0,8.0,43.0,19.0,11.0,26.0,240.0,39.0,30.0,29.0,29.0,53.0,29.0,18.0,0.0,19.0,24.0,56.0,15.0,0.0,1.0,35.0,7.0,,22400595,Regular Season,,,0.0
22400592,2025-01-19 15:00:00,Miami,Heat,1610612748,San Antonio,Spurs,1610612759,1,1,128,107,35.0,6.0,8.0,95.0,50.0,0.526,33.0,18.0,0.545,10.0,10.0,1.0,37.0,12.0,49.0,12.0,11.0,21.0,240.0,20.0,26.0,46.0,36.0,73.0,27.0,11.0,3.0,18.0,16.0,60.0,8.0,2.0,1.0,21.0,20.0,,22400592,Regular Season,,,0.0
22400577,2025-01-17 19:00:00,Boston,Celtics,1610612738,Orlando,Magic,1610612753,1,1,121,94,25.0,3.0,6.0,80.0,42.0,0.525,37.0,17.0,0.459,22.0,20.0,0.909,30.0,11.0,41.0,23.0,10.0,27.0,240.0,35.0,31.0,30.0,25.0,27.0,27.0,8.0,6.0,7.0,12.0,38.0,7.0,2.0,1.0,29.0,12.0,,22400577,Regular Season,,,0.0
22400576,2025-01-16 22:00:00,Sacramento,Kings,1610612758,Houston,Rockets,1610612745,1,1,132,127,32.0,3.0,5.0,98.0,49.0,0.5,33.0,14.0,0.424,22.0,20.0,0.909,32.0,12.0,44.0,15.0,12.0,5.0,240.0,26.0,35.0,29.0,42.0,16.0,16.0,11.0,22.0,19.0,22.0,52.0,15.0,8.0,0.0,21.0,20.0,,22400576,Regular Season,,,0.0
22400570,2025-01-15 22:00:00,Miami,Heat,1610612748,Los Angeles,Lakers,1610612747,0,0,108,117,25.0,6.0,3.0,73.0,39.0,0.534,36.0,16.0,0.444,15.0,14.0,0.933,34.0,3.0,37.0,13.0,19.0,-9.0,240.0,38.0,28.0,19.0,23.0,35.0,14.0,10.0,14.0,15.0,7.0,36.0,6.0,6.0,0.0,20.0,19.0,,22400570,Regular Season,,,0.0
22400549,2025-01-13 19:30:00,Detroit,Pistons,1610612765,New York,Knicks,1610612752,0,1,124,119,20.0,2.0,8.0,92.0,46.0,0.5,34.0,15.0,0.441,18.0,17.0,0.944,28.0,11.0,39.0,21.0,11.0,5.0,240.0,37.0,22.0,36.0,29.0,46.0,11.0,10.0,5.0,15.0,21.0,56.0,18.0,5.0,1.0,21.0,19.0,,22400549,Regular Season,,,0.0
22400492,2025-01-05 20:30:00,Sacramento,Kings,1610612758,Golden State,Warriors,1610612744,0,1,129,99,31.0,3.0,15.0,87.0,45.0,0.517,43.0,19.0,0.442,22.0,20.0,0.909,33.0,10.0,43.0,19.0,15.0,30.0,240.0,36.0,39.0,30.0,24.0,47.0,39.0,11.0,0.0,15.0,34.0,42.0,16.0,0.0,1.0,17.0,19.0,,22400492,Regular Season,,,0.0
22400482,2025-01-04 20:00:00,Chicago,Bulls,1610612741,New York,Knicks,1610612752,1,1,139,126,36.0,4.0,6.0,94.0,51.0,0.543,37.0,20.0,0.541,18.0,17.0,0.944,34.0,9.0,43.0,21.0,12.0,13.0,240.0,29.0,34.0,41.0,35.0,31.0,19.0,9.0,2.0,18.0,19.0,56.0,16.0,4.0,1.0,16.0,19.0,,22400482,Regular Season,,,0.0
22400464,2025-01-02 19:30:00,Minnesota,Timberwolves,1610612750,Boston,Celtics,1610612738,1,0,115,118,24.0,2.0,1.0,74.0,37.0,0.5,39.0,21.0,0.538,22.0,20.0,0.909,30.0,11.0,41.0,11.0,15.0,-3.0,240.0,35.0,16.0,34.0,30.0,43.0,9.0,7.0,5.0,7.0,4.0,28.0,18.0,5.0,0.0,17.0,16.0,,22400464,Regular Season,,,0.0
22400461,2025-01-01 21:00:00,Denver,Nuggets,1610612743,Atlanta,Hawks,1610612737,1,1,139,120,44.0,5.0,8.0,94.0,53.0,0.564,30.0,12.0,0.4,21.0,21.0,1.0,39.0,4.0,43.0,16.0,12.0,19.0,240.0,40.0,34.0,41.0,24.0,43.0,27.0,12.0,4.0,21.0,14.0,76.0,4.0,10.0,0.0,19.0,13.0,,22400461,Regular Season,,,0.0
22400447,2024-12-30 22:00:00,Philadelphia,76ers,1610612755,Portland,Trail Blazers,1610612757,0,1,125,103,20.0,3.0,12.0,75.0,43.0,0.573,24.0,11.0,0.458,31.0,28.0,0.903,24.0,8.0,32.0,27.0,19.0,22.0,240.0,33.0,31.0,27.0,34.0,34.0,27.0,13.0,3.0,17.0,36.0,50.0,7.0,5.0,1.0,13.0,17.0,,22400447,Regular Season,,,0.0
22400387,2024-12-21 21:00:00,Phoenix,Suns,1610612756,Detroit,Pistons,1610612765,1,0,125,133,30.0,1.0,9.0,78.0,45.0,0.577,29.0,14.0,0.483,23.0,21.0,0.913,29.0,6.0,35.0,21.0,19.0,-8.0,240.0,26.0,33.0,35.0,31.0,16.0,2.0,12.0,3.0,13.0,21.0,50.0,11.0,3.0,1.0,14.0,13.0,,22400387,Regular Season,,,0.0
22400368,2024-12-19 20:30:00,Los Angeles,Clippers,1610612746,Dallas,Mavericks,1610612742,0,1,118,95,30.0,3.0,9.0,85.0,44.0,0.518,33.0,14.0,0.424,17.0,16.0,0.941,39.0,8.0,47.0,20.0,13.0,23.0,240.0,24.0,26.0,39.0,29.0,33.0,23.0,11.0,10.0,18.0,18.0,54.0,11.0,9.0,0.0,16.0,12.0,,22400368,Regular Season,,,0.0
22401214,2024-12-13 21:30:00,Phoenix,Suns,1610612756,Utah,Jazz,1610612762,0,1,134,126,36.0,7.0,10.0,89.0,47.0,0.528,45.0,22.0,0.489,20.0,18.0,0.9,28.0,9.0,37.0,18.0,7.0,8.0,240.0,38.0,38.0,36.0,22.0,22.0,12.0,12.0,2.0,17.0,16.0,34.0,13.0,5.0,1.0,13.0,11.0,,22401214,Regular Season,,,0.0
22400348,2024-12-08 15:30:00,Brooklyn,Nets,1610612751,Milwaukee,Bucks,1610612749,1,0,113,118,24.0,3.0,9.0,81.0,41.0,0.506,35.0,16.0,0.457,16.0,15.0,0.938,23.0,7.0,30.0,25.0,9.0,-5.0,240.0,25.0,27.0,34.0,27.0,17.0,12.0,8.0,14.0,12.0,15.0,40.0,8.0,9.0,0.0,10.0,14.0,,22400348,Regular Season,,,0.0
22400339,2024-12-06 22:00:00,Utah,Jazz,1610612762,Portland,Trail Blazers,1610612757,0,1,141,99,34.0,11.0,6.0,96.0,53.0,0.552,32.0,14.0,0.438,23.0,21.0,0.913,50.0,11.0,61.0,17.0,12.0,42.0,240.0,33.0,34.0,35.0,39.0,62.0,46.0,11.0,2.0,39.0,8.0,76.0,24.0,0.0,1.0,5.0,17.0,,22400339,Regular Season,,,0.0
22400337,2024-12-06 20:00:00,Sacramento,Kings,1610612758,San Antonio,Spurs,1610612759,0,1,140,113,33.0,6.0,7.0,90.0,51.0,0.567,34.0,16.0,0.471,24.0,22.0,0.917,37.0,7.0,44.0,20.0,11.0,27.0,240.0,33.0,36.0,31.0,40.0,34.0,27.0,12.0,10.0,13.0,19.0,54.0,13.0,2.0,1.0,11.0,13.0,,22400337,Regular Season,,,0.0
22400053,2024-12-03 19:30:00,New York,Knicks,1610612752,Orlando,Magic,1610612753,1,1,121,106,30.0,4.0,6.0,85.0,43.0,0.506,35.0,15.0,0.429,20.0,20.0,1.0,34.0,5.0,39.0,25.0,17.0,15.0,240.0,36.0,35.0,35.0,15.0,29.0,37.0,11.0,1.0,14.0,32.0,48.0,5.0,0.0,0.0,13.0,8.0,,22400053,Regular Season,Emirates NBA Cup,East Group A,0.0
22400297,2024-11-27 21:00:00,Brooklyn,Nets,1610612751,Phoenix,Suns,1610612756,0,1,127,117,32.0,1.0,8.0,87.0,44.0,0.506,42.0,18.0,0.429,22.0,21.0,0.955,29.0,7.0,36.0,24.0,12.0,10.0,240.0,34.0,29.0,33.0,31.0,54.0,18.0,12.0,3.0,24.0,24.0,46.0,9.0,3.0,0.0,9.0,10.0,,22400297,Regular Season,,,0.0
22400030,2024-11-22 20:00:00,Chicago,Bulls,1610612741,Atlanta,Hawks,1610612737,1,1,136,122,36.0,10.0,8.0,86.0,49.0,0.57,43.0,19.0,0.442,21.0,19.0,0.905,36.0,5.0,41.0,17.0,19.0,14.0,240.0,28.0,30.0,41.0,37.0,34.0,20.0,9.0,7.0,27.0,18.0,56.0,9.0,9.0,1.0,7.0,10.0,,22400030,Regular Season,Emirates NBA Cup,East Group C,0.0
22400257,2024-11-20 22:00:00,New York,Knicks,1610612752,Phoenix,Suns,1610612756,0,1,138,122,30.0,0.0,10.0,86.0,50.0,0.581,39.0,19.0,0.487,21.0,19.0,0.905,31.0,10.0,41.0,15.0,13.0,16.0,240.0,44.0,32.0,34.0,28.0,19.0,24.0,11.0,0.0,28.0,24.0,60.0,9.0,1.0,1.0,9.0,6.0,,22400257,Regular Season,,,0.0
22400246,2024-11-18 19:30:00,New York,Knicks,1610612752,Washington,Wizards,1610612764,1,1,134,106,37.0,1.0,4.0,91.0,51.0,0.56,40.0,20.0,0.5,13.0,12.0,0.923,34.0,7.0,41.0,12.0,8.0,28.0,240.0,40.0,33.0,36.0,25.0,40.0,34.0,10.0,1.0,10.0,11.0,50.0,12.0,3.0,1.0,8.0,6.0,,22400246,Regular Season,,,0.0
22400236,2024-11-17 18:00:00,Cleveland,Cavaliers,1610612739,Charlotte,Hornets,1610612766,1,1,128,114,26.0,4.0,3.0,77.0,44.0,0.571,30.0,13.0,0.433,28.0,27.0,0.964,39.0,9.0,48.0,15.0,20.0,14.0,240.0,38.0,34.0,30.0,26.0,29.0,16.0,11.0,2.0,14.0,12.0,60.0,14.0,0.0,1.0,15.0,0.0,,22400236,Regular Season,,,0.0
22400235,2024-11-17 17:00:00,Indiana,Pacers,1610612754,Miami,Heat,1610612748,1,1,119,110,30.0,6.0,6.0,85.0,44.0,0.518,29.0,13.0,0.448,20.0,18.0,0.9,35.0,10.0,45.0,16.0,10.0,9.0,240.0,28.0,24.0,33.0,34.0,22.0,16.0,9.0,0.0,18.0,9.0,62.0,9.0,1.0,0.0,6.0,7.0,,22400235,Regular Season,,,0.0
22400008,2024-11-12 22:00:00,Portland,Trail Blazers,1610612757,Minnesota,Timberwolves,1610612750,1,1,122,108,30.0,7.0,14.0,84.0,43.0,0.512,32.0,18.0,0.563,20.0,18.0,0.9,28.0,11.0,39.0,23.0,19.0,14.0,240.0,28.0,32.0,33.0,29.0,64.0,19.0,9.0,4.0,16.0,25.0,42.0,12.0,1.0,1.0,4.0,8.0,,22400008,Regular Season,Emirates NBA Cup,West Group A,0.0
